id,neighbourhood,room_type,accommodates,bathrooms,bedrooms,beds,price
3479,Hastings-Sunrise,Entire home/apt,13,1 bath,13,13,25
3480,Dunbar Southlands,Entire home/apt,5,1 bath,2,3,103
3481,Kensington-Cedar Cottage,Entire home/apt,8,4 baths,3,4,391
3482,South Cambie,Private room,1,1 shared bath,1,1,69
3483,Downtown,Entire home/apt,6,2 baths,2,3,240
3484,Sunset,Shared room,2,1 shared bath,1,3,25
3485,West Point Grey,Entire home/apt,4,1 bath,2,2,145
3486,Sunset,Entire home/apt,4,2 baths,2,2,85
3487,Downtown,Private room,2,1 shared bath,1,1,90
3488,Downtown,Entire home/apt,6,2 baths,3,3,200
3489,Marpole,Entire home/apt,5,2 baths,2,2,220
3490,Downtown Eastside,Entire home/apt,4,1 bath,2,2,82
3491,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,55
3492,Downtown,Entire home/apt,2,1 bath,1,2,85
3493,Oakridge,Entire home/apt,2,1 bath,1,1,79
3494,Marpole,Entire home/apt,16,6.5 baths,6,6,562
3495,Downtown,Entire home/apt,4,1 bath,1,2,162
3496,Downtown,Entire home/apt,5,2 baths,2,2,150
3497,Mount Pleasant,Entire home/apt,6,2 baths,3,3,229
3498,Hastings-Sunrise,Entire home/apt,6,1 bath,2,3,95
3499,Kitsilano,Entire home/apt,4,1 bath,1,2,114
3500,Grandview-Woodland,Entire home/apt,2,1 bath,1,2,105
3501,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,81
3502,Arbutus Ridge,Entire home/apt,8,1.5 baths,4,4,395
3503,Renfrew-Collingwood,Private room,2,1 shared bath,1,0,45
3504,Mount Pleasant,Entire home/apt,2,1 bath,1,1,125
3505,Downtown,Private room,2,1 private bath,2,2,83
3506,Downtown,Private room,2,2 baths,5,1,83
3507,Downtown,Entire home/apt,4,1 bath,1,2,153
3508,Downtown Eastside,Entire home/apt,2,1 bath,1,1,210
3509,Hastings-Sunrise,Entire home/apt,4,1 bath,2,2,105
3510,Mount Pleasant,Private room,2,1 shared bath,1,1,40
3511,Downtown Eastside,Entire home/apt,3,1 bath,1,2,200
3512,Downtown,Entire home/apt,2,1 bath,1,1,168
3513,Renfrew-Collingwood,Entire home/apt,4,1 bath,2,2,139
3514,West End,Entire home/apt,2,1 bath,1,1,110
3515,Hastings-Sunrise,Entire home/apt,4,1 bath,2,2,150
3516,Arbutus Ridge,Entire home/apt,4,1.5 baths,2,1,148
3517,Downtown,Entire home/apt,4,1 bath,2,2,99
3518,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,88
3519,Downtown Eastside,Entire home/apt,10,2 baths,4,4,275
3520,Hastings-Sunrise,Entire home/apt,12,3 baths,4,4,291
3521,Fairview,Private room,2,1 shared bath,1,1,75
3522,South Cambie,Entire home/apt,8,2 baths,3,3,222
3523,Downtown,Entire home/apt,6,2 baths,2,3,332
3524,Renfrew-Collingwood,Private room,2,1.5 shared baths,1,1,40
3525,Riley Park,Private room,2,1.5 shared baths,1,1,40
3526,Renfrew-Collingwood,Entire home/apt,5,1 bath,2,4,109
3527,Shaughnessy,Entire home/apt,2,1 bath,1,1,152
3528,Downtown Eastside,Entire home/apt,5,1 bath,2,2,200
3529,Downtown,Entire home/apt,4,1 bath,1,2,157
3530,Downtown Eastside,Entire home/apt,2,1 bath,1,1,250
3531,Kensington-Cedar Cottage,Entire home/apt,3,1 bath,1,2,87
3532,Mount Pleasant,Entire home/apt,4,1 bath,1,2,115.14
3533,Kensington-Cedar Cottage,Entire home/apt,6,2 baths,3,3,269
3534,Downtown,Entire home/apt,2,1 bath,1,1,101
3535,Marpole,Entire home/apt,4,2 baths,2,3,164
3536,Downtown Eastside,Entire home/apt,2,1 bath,1,1,130
3537,West End,Entire home/apt,1,1 bath,1,2,58
3538,Fairview,Entire home/apt,5,1 bath,2,3,134
3539,Riley Park,Private room,1,1 shared bath,1,1,45
3540,Riley Park,Private room,1,1 shared bath,1,1,50
3541,Dunbar Southlands,Entire home/apt,8,2 baths,3,3,139
3542,West End,Entire home/apt,4,2 baths,2,2,125
3543,Mount Pleasant,Entire home/apt,4,1.5 baths,2,3,250
3544,Marpole,Entire home/apt,5,1 bath,2,3,320
3545,Downtown,Entire home/apt,4,1 bath,2,2,105
3546,Sunset,Entire home/apt,8,1.5 baths,4,4,180
3547,Downtown,Entire home/apt,3,1 bath,1,2,161
3548,Downtown,Entire home/apt,5,1 bath,2,3,175
3549,Downtown,Entire home/apt,4,1 bath,1,1,143
3550,Victoria-Fraserview,Entire home/apt,5,1 bath,2,3,89
3551,Riley Park,Private room,1,1.5 shared baths,1,0,35
3552,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,3,109
3553,Downtown,Entire home/apt,2,1 bath,1,1,169
3554,Killarney,Private room,3,1 private bath,1,2,63
3555,Downtown,Entire home/apt,3,1 bath,1,2,246
3556,Downtown,Entire home/apt,3,1 bath,1,2,174
3557,Downtown,Entire home/apt,8,2 baths,3,4,375
3558,Hastings-Sunrise,Private room,2,1 bath,1,1,49
3559,Mount Pleasant,Entire home/apt,4,1 bath,2,3,140
3560,Dunbar Southlands,Entire home/apt,12,3 baths,6,7,780
3561,Downtown,Private room,1,1 shared bath,1,1,48
3562,Downtown,Entire home/apt,4,1 bath,1,2,125
3563,Fairview,Entire home/apt,2,2 baths,1,1,388
3564,Kitsilano,Entire home/apt,3,1 bath,1,3,90
3565,Downtown,Entire home/apt,4,1 bath,2,3,250
3566,Kensington-Cedar Cottage,Private room,2,1 private bath,1,1,70
3567,South Cambie,Entire home/apt,2,1 bath,1,2,99
3568,Downtown,Private room,2,1 shared bath,1,1,68
3569,Downtown,Entire home/apt,8,2 baths,2,4,188
3570,West Point Grey,Private room,2,1 shared bath,1,1,119
3571,Kensington-Cedar Cottage,Entire home/apt,6,1 bath,2,3,85
3572,Downtown,Private room,2,1 private bath,1,1,125
3573,South Cambie,Entire home/apt,6,1 bath,2,3,119
3574,Dunbar Southlands,Private room,4,1 private bath,2,2,129
3575,Downtown,Entire home/apt,6,2 baths,3,3,150
3576,Downtown,Entire home/apt,4,1 bath,1,1,163
3577,Downtown,Entire home/apt,6,2 baths,3,3,149
3578,Marpole,Entire home/apt,7,2.5 baths,3,3,270
3579,West End,Entire home/apt,4,1 bath,1,2,107.57
3580,Downtown,Private room,2,1 private bath,1,1,120
3581,Downtown Eastside,Entire home/apt,5,1 bath,1,1,151
3582,Hastings-Sunrise,Private room,2,1 shared bath,1,1,59
3583,Renfrew-Collingwood,Private room,2,1 shared bath,1,1,35
3584,Grandview-Woodland,Entire home/apt,2,1 bath,1,2,140
3585,Downtown,Entire home/apt,8,2 baths,2,2,220
3586,Kitsilano,Private room,1,1 private bath,1,1,59
3587,Oakridge,Entire home/apt,4,1 bath,2,2,115
3588,Downtown,Entire home/apt,5,2 baths,2,2,240
3589,Downtown,Entire home/apt,5,2 baths,2,2,199
3590,Kitsilano,Shared room,2,0 shared baths,1,2,80
3591,Grandview-Woodland,Private room,2,1 bath,1,1,67
3592,Downtown,Private room,2,1 private bath,1,1,60
3593,Downtown,Entire home/apt,2,1 bath,1,1,113
3594,Downtown,Entire home/apt,2,1 bath,1,1,111.13
3595,Downtown,Entire home/apt,5,2 baths,2,2,200
3596,Fairview,Entire home/apt,2,1 bath,1,1,60
3597,Dunbar Southlands,Entire home/apt,6,1 bath,2,4,113
3598,Downtown Eastside,Entire home/apt,2,1 bath,1,1,115
3599,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,95
3600,Kitsilano,Entire home/apt,4,1.5 baths,2,4,325
3601,Hastings-Sunrise,Private room,2,1 shared bath,1,1,59
3602,Downtown,Entire home/apt,4,1 bath,1,2,127.43
3603,West End,Private room,1,1 shared bath,1,1,65
3604,Kensington-Cedar Cottage,Entire home/apt,6,1 bath,3,3,190
3605,Renfrew-Collingwood,Entire home/apt,6,1 bath,3,3,150
3606,Kitsilano,Entire home/apt,4,2 baths,1,1,200
3607,Downtown,Private room,1,1 private bath,1,1,120
3608,Downtown,Entire home/apt,5,2 baths,2,3,176
3609,West End,Entire home/apt,3,1 bath,1,2,225
3610,Sunset,Entire home/apt,4,1 bath,1,3,69
3611,Downtown,Private room,2,1 private bath,1,1,72
3612,Downtown,Private room,2,1 bath,1,1,72
3613,Grandview-Woodland,Entire home/apt,6,3.5 baths,3,3,400
3614,Downtown,Entire home/apt,4,1 bath,1,2,158
3615,Mount Pleasant,Entire home/apt,3,1 bath,1,1,85
3616,Downtown,Entire home/apt,4,2 baths,2,2,87
3617,Kensington-Cedar Cottage,Entire home/apt,7,1.5 baths,3,3,116
3618,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,85
3619,Renfrew-Collingwood,Entire home/apt,6,2.5 baths,3,3,180
3620,Kensington-Cedar Cottage,Entire home/apt,4,2 baths,2,2,280
3621,Downtown,Entire home/apt,5,2 baths,2,2,198
3622,Mount Pleasant,Entire home/apt,5,1.5 baths,2,2,132
3623,Fairview,Private room,1,1 shared bath,1,0,70
3624,Downtown,Entire home/apt,5,2 baths,2,2,257
3625,Downtown,Entire home/apt,2,1 bath,1,2,192.86
3626,West End,Private room,2,1 private bath,1,1,369
3627,West End,Private room,2,1 private bath,1,1,369
3628,West End,Private room,2,1 private bath,1,1,369
3629,West End,Private room,2,1 private bath,1,2,399
3630,West End,Private room,1,1 private bath,1,1,299
3631,West End,Private room,2,1 private bath,1,1,329
3632,Downtown Eastside,Entire home/apt,6,2 baths,3,3,157
3633,West End,Private room,2,1 shared bath,1,1,100
3634,Downtown,Entire home/apt,2,1 bath,1,1,93
3635,Hastings-Sunrise,Entire home/apt,4,1 bath,2,2,55
3636,Grandview-Woodland,Entire home/apt,6,1 bath,2,2,250
3637,Fairview,Entire home/apt,6,1.5 baths,3,4,257
3638,Downtown,Entire home/apt,5,1 bath,2,3,190
3639,Victoria-Fraserview,Entire home/apt,10,3 baths,4,4,236
3640,Downtown,Entire home/apt,2,1 bath,1,1,190.86
3641,Downtown,Entire home/apt,4,1 bath,1,1,84
3642,West End,Entire home/apt,2,1 bath,1,1,140
3643,Kitsilano,Entire home/apt,4,1.5 baths,2,2,150
3644,Mount Pleasant,Entire home/apt,2,1 bath,1,1,118
3645,West End,Entire home/apt,4,2 baths,2,2,186
3646,Kitsilano,Private room,2,1.5 shared baths,4,2,93
3647,Downtown,Entire home/apt,4,1 bath,1,2,190
3648,Hastings-Sunrise,Entire home/apt,4,1 bath,2,2,90
3649,Kitsilano,Entire home/apt,3,2 baths,2,2,260
3650,West End,Entire home/apt,3,1 bath,2,2,209
3651,Downtown,Entire home/apt,3,1 bath,1,2,115
3652,Kensington-Cedar Cottage,Entire home/apt,3,1 bath,1,2,130
3653,Downtown,Entire home/apt,2,1 bath,1,1,175
3654,Kensington-Cedar Cottage,Private room,2,1 private bath,1,1,99
3655,Kensington-Cedar Cottage,Private room,2,1 shared bath,1,1,85
3656,Kensington-Cedar Cottage,Private room,2,1 shared bath,1,1,92
3657,Downtown Eastside,Entire home/apt,6,1 bath,2,2,123
3658,Downtown,Entire home/apt,4,2 baths,2,2,135
3659,Grandview-Woodland,Entire home/apt,3,1 bath,1,1,93
3660,Grandview-Woodland,Entire home/apt,4,1 bath,2,2,69
3661,Oakridge,Entire home/apt,8,5 baths,4,4,268
3662,Downtown,Private room,2,1 shared bath,1,0,100
3663,Fairview,Entire home/apt,4,2 baths,2,2,110
3664,Downtown Eastside,Entire home/apt,4,1 bath,1,1,114.71
3665,Kitsilano,Entire home/apt,2,1 bath,1,2,80
3666,Downtown,Entire home/apt,2,1 bath,1,1,128
3667,Mount Pleasant,Entire home/apt,4,2 baths,2,2,150
3668,Downtown,Entire home/apt,2,1 bath,1,1,170
3669,Oakridge,Entire home/apt,8,4.5 baths,5,4,350
3670,Downtown,Private room,1,1 shared bath,1,0,85
3671,Dunbar Southlands,Private room,2,1.5 shared baths,1,1,89
3672,Strathcona,Entire home/apt,2,1 bath,1,1,100
3673,Downtown,Entire home/apt,2,1.5 baths,1,1,350
3674,Downtown,Entire home/apt,2,1 bath,1,1,140
3675,Victoria-Fraserview,Private room,4,1 bath,2,2,200
3676,Riley Park,Private room,2,1 shared bath,2,1,70
3677,Kitsilano,Entire home/apt,4,1 bath,2,2,271
3678,Victoria-Fraserview,Private room,2,1 bath,1,1,135
3679,Downtown Eastside,Entire home/apt,2,1 bath,1,1,100
3680,Fairview,Entire home/apt,4,2 baths,2,2,362.41
3681,Downtown,Entire home/apt,4,1 bath,1,2,336
3682,Downtown,Entire home/apt,4,1 bath,1,1,90
3683,Downtown Eastside,Entire home/apt,4,2 baths,2,3,92
3684,Victoria-Fraserview,Entire home/apt,2,1 bath,1,1,83.43
3685,Riley Park,Entire home/apt,4,1 bath,2,2,128
3686,Kensington-Cedar Cottage,Private room,2,1 shared bath,1,1,43
3687,Downtown Eastside,Entire home/apt,4,1 bath,1,2,134
3688,Downtown,Entire home/apt,4,2 baths,2,2,177
3689,Downtown,Entire home/apt,4,1 bath,2,2,115
3690,Hastings-Sunrise,Entire home/apt,4,1 bath,2,2,107
3691,West End,Entire home/apt,3,1 bath,1,1,91
3692,Downtown,Entire home/apt,1,1 bath,1,1,103
3693,Downtown,Entire home/apt,5,2 baths,2,2,150
3694,Downtown,Entire home/apt,2,1 bath,1,1,90
3695,Downtown Eastside,Entire home/apt,4,1 bath,1,1,260
3696,Downtown,Entire home/apt,5,1 bath,1,2,198
3697,Downtown,Private room,2,1 shared bath,1,1,310
3698,Oakridge,Private room,2,1.5 shared baths,1,1,80
3699,Downtown,Entire home/apt,4,1 bath,1,1,248
3700,Downtown,Entire home/apt,3,1 bath,1,2,149
3701,Grandview-Woodland,Entire home/apt,3,1 bath,2,2,199
3702,Downtown,Entire home/apt,2,1 bath,1,1,140
3703,Kitsilano,Private room,2,1 shared bath,1,1,89
3704,Downtown,Entire home/apt,2,1 bath,1,1,300
3705,West End,Private room,2,1 shared bath,1,1,100
3706,Kitsilano,Entire home/apt,4,1 bath,1,2,155
3707,Downtown Eastside,Entire home/apt,6,2 baths,3,3,779
3708,Downtown,Entire home/apt,4,2 baths,2,2,120
3709,Downtown,Entire home/apt,4,1 bath,1,1,204
3710,Riley Park,Entire home/apt,2,1 bath,1,1,69
3711,Oakridge,Entire home/apt,6,1 bath,3,3,95
3712,Downtown,Entire home/apt,3,1 bath,2,2,179
3713,Downtown,Entire home/apt,5,2 baths,3,3,276
3714,Kitsilano,Entire home/apt,2,1 bath,2,2,80
3715,Dunbar Southlands,Entire home/apt,2,1 bath,1,1,100
3716,Dunbar Southlands,Entire home/apt,3,1 bath,1,1,120
3717,South Cambie,Entire home/apt,6,3.5 baths,3,3,199
3718,Renfrew-Collingwood,Private room,2,1 shared bath,1,1,30
3719,Downtown,Entire home/apt,3,1 bath,1,2,102
3720,Downtown,Entire home/apt,4,2 baths,2,2,239
3721,Kensington-Cedar Cottage,Entire home/apt,6,1 bath,2,3,145
3722,Grandview-Woodland,Private room,6,1 private bath,3,3,89
3723,Downtown,Entire home/apt,4,1 bath,3,6,275
3724,Downtown,Entire home/apt,2,1 bath,1,0,120
3725,Shaughnessy,Entire home/apt,3,1 bath,1,1,109
3726,South Cambie,Entire home/apt,5,1 bath,1,3,169
3727,Downtown,Entire home/apt,4,1 bath,1,2,92
3728,Downtown,Entire home/apt,7,2 baths,2,4,456
3729,Kerrisdale,Private room,2,1 shared bath,1,1,35
3730,Oakridge,Private room,2,1 shared bath,1,1,80
3731,Downtown,Entire home/apt,3,1 bath,1,1,88
3732,Downtown,Entire home/apt,4,1 bath,2,2,135
3733,Grandview-Woodland,Private room,1,1.5 baths,1,1,60
3734,Sunset,Entire home/apt,3,1 bath,2,2,62
3735,Marpole,Private room,2,1 shared bath,1,1,34
3736,Kensington-Cedar Cottage,Entire home/apt,6,1 bath,2,3,119
3737,Downtown,Entire home/apt,4,1 bath,2,3,203
3738,Kitsilano,Entire home/apt,6,1 bath,3,4,438
3739,Killarney,Entire home/apt,2,1 bath,1,1,63
3740,Downtown,Entire home/apt,3,1 bath,1,1,84
3741,Downtown,Private room,2,1.5 baths,1,1,115
3742,Downtown,Private room,2,1.5 baths,1,1,115
3743,Downtown,Private room,2,1.5 baths,1,1,125
3744,Downtown,Private room,2,1.5 baths,1,0,125
3745,Mount Pleasant,Entire home/apt,6,2.5 baths,2,5,130
3746,Downtown,Entire home/apt,6,2 baths,2,3,119
3747,Kitsilano,Entire home/apt,2,1 bath,1,1,67.9
3748,Downtown,Private room,2,1 private bath,1,1,49
3749,Downtown,Private room,2,1 private bath,1,1,48
3750,Hastings-Sunrise,Entire home/apt,4,1 bath,2,2,89
3751,Kensington-Cedar Cottage,Private room,4,1 private bath,1,3,90
3752,Downtown,Entire home/apt,4,1 bath,1,3,134
3753,Downtown,Entire home/apt,4,1 bath,1,2,160
3754,Downtown,Entire home/apt,4,1 bath,2,3,84
3755,Kitsilano,Entire home/apt,2,1 bath,1,1,100
3756,West End,Entire home/apt,4,2 baths,2,2,499
3757,Downtown,Entire home/apt,3,1 bath,1,2,139
3758,Shaughnessy,Entire home/apt,14,5.5 baths,8,13,636
3759,Grandview-Woodland,Entire home/apt,4,1 bath,2,2,250
3760,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,2,141
3761,Downtown,Entire home/apt,3,1 bath,2,1,200
3762,Downtown,Entire home/apt,5,2 baths,3,3,184
3763,Grandview-Woodland,Entire home/apt,6,2 baths,3,3,130
3764,Downtown,Entire home/apt,4,1 bath,1,2,145
3765,Killarney,Entire home/apt,5,2 baths,2,3,149
3766,Kitsilano,Entire home/apt,2,1 bath,1,2,150
3767,Renfrew-Collingwood,Entire home/apt,6,2 baths,2,2,250
3768,Downtown,Entire home/apt,4,1 bath,1,2,131
3769,West End,Entire home/apt,2,1 bath,1,1,89
3770,Riley Park,Entire home/apt,4,1 bath,1,2,108
3771,Killarney,Private room,2,1 shared bath,1,2,27
3772,Downtown,Entire home/apt,5,1.5 baths,2,2,495
3773,Grandview-Woodland,Private room,4,1 shared bath,2,4,35
3774,Kensington-Cedar Cottage,Entire home/apt,7,2 baths,3,4,350
3775,Grandview-Woodland,Entire home/apt,4,1 bath,1,2,118.57
3776,Downtown,Private room,1,1 shared bath,1,1,57
3777,Riley Park,Private room,2,1 shared bath,1,1,55
3778,Arbutus Ridge,Entire home/apt,6,2 baths,3,4,80
3779,Renfrew-Collingwood,Private room,2,2 baths,1,1,63
3780,Fairview,Entire home/apt,2,1 bath,1,1,150
3781,Kitsilano,Entire home/apt,5,1 bath,2,3,155
3782,Downtown,Private room,2,1 shared bath,1,0,129
3783,Grandview-Woodland,Entire home/apt,4,1 bath,2,2,200
3784,Kitsilano,Entire home/apt,4,1 bath,1,2,149
3785,West Point Grey,Entire home/apt,4,1.5 baths,2,2,189
3786,Downtown,Entire home/apt,4,2 baths,2,2,115
3787,West Point Grey,Private room,2,1 shared bath,1,0,62
3788,Downtown,Entire home/apt,4,1 bath,1,2,298
3789,West End,Entire home/apt,4,1 bath,2,3,160
3790,Downtown Eastside,Entire home/apt,4,1 bath,1,1,297
3791,Kerrisdale,Entire home/apt,4,1 bath,2,2,120
3792,Downtown,Entire home/apt,3,1 bath,1,2,83
3793,Downtown Eastside,Entire home/apt,2,1 bath,1,1,100
3794,Hastings-Sunrise,Entire home/apt,6,1 bath,2,3,92
3795,Downtown,Entire home/apt,3,1 bath,1,2,126
3796,Renfrew-Collingwood,Entire home/apt,6,1 bath,3,3,125
3797,Victoria-Fraserview,Entire home/apt,4,1 bath,2,2,50
3798,Kitsilano,Private room,1,1 shared bath,1,1,34
3799,Arbutus Ridge,Private room,4,2 baths,2,2,128
3800,Fairview,Entire home/apt,4,1 bath,1,2,145
3801,Fairview,Entire home/apt,4,1 bath,1,2,131.79
3802,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,1,2,131
3803,West End,Entire home/apt,2,1 bath,1,1,128
3804,Renfrew-Collingwood,Private room,2,2.5 baths,3,4,50
3805,Dunbar Southlands,Entire home/apt,6,2 baths,2,3,179
3806,Downtown,Entire home/apt,2,1 bath,2,2,73
3807,Downtown,Entire home/apt,4,1 bath,1,2,126
3808,Hastings-Sunrise,Entire home/apt,6,1.5 baths,1,3,145
3809,Mount Pleasant,Entire home/apt,6,2.5 baths,3,3,85
3810,Riley Park,Private room,2,1 shared bath,1,1,60
3811,Downtown,Entire home/apt,4,1 bath,1,2,120
3812,Downtown,Entire home/apt,2,1 bath,1,1,142.86
3813,Downtown,Private room,1,1 shared bath,1,1,35
3814,Kitsilano,Entire home/apt,1,1 bath,1,2,68
3815,West End,Entire home/apt,4,1 bath,1,1,111
3816,Kensington-Cedar Cottage,Entire home/apt,5,2.5 baths,3,4,300
3817,Kensington-Cedar Cottage,Entire home/apt,7,2 baths,4,5,375
3818,Renfrew-Collingwood,Entire home/apt,7,2 baths,3,4,195
3819,Kitsilano,Entire home/apt,6,2.5 baths,2,2,300
3820,West End,Entire home/apt,2,1 bath,1,1,180
3821,Riley Park,Private room,4,1 shared bath,2,2,60
3822,Oakridge,Entire home/apt,7,1 bath,3,3,155
3823,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,2,98
3824,Kitsilano,Private room,2,1 shared bath,1,1,65
3825,Fairview,Private room,2,1.5 baths,1,1,64
3826,Strathcona,Entire home/apt,2,1 bath,1,1,159
3827,Renfrew-Collingwood,Entire home/apt,2,1 bath,1,1,50
3828,Downtown,Entire home/apt,2,1 bath,1,1,200
3829,Kitsilano,Private room,1,2 shared baths,1,1,33
3830,Downtown Eastside,Entire home/apt,4,1 bath,1,1,112
3831,Dunbar Southlands,Private room,1,1 private bath,1,1,108
3832,Dunbar Southlands,Private room,2,1.5 baths,1,1,138
3833,Marpole,Private room,1,1 shared bath,1,1,50
3834,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,3,109
3835,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,2,92
3836,Downtown,Entire home/apt,6,1 bath,2,3,156
3837,Arbutus Ridge,Entire home/apt,4,1 bath,1,1,100
3838,Kensington-Cedar Cottage,Entire home/apt,6,2 baths,3,2,150
3839,Downtown,Entire home/apt,3,1 bath,2,2,182
3840,Kitsilano,Entire home/apt,8,3 baths,3,3,475
3841,Riley Park,Entire home/apt,2,1 bath,1,1,94
3842,Kensington-Cedar Cottage,Entire home/apt,12,2 baths,5,6,385
3843,Shaughnessy,Private room,2,1 shared bath,1,1,100
3844,Dunbar Southlands,Private room,4,1.5 baths,2,2,200
3845,Downtown,Entire home/apt,2,1 bath,1,1,116
3846,Grandview-Woodland,Private room,2,1 shared bath,1,1,99
3847,Downtown,Entire home/apt,3,1 bath,1,1,113
3848,Victoria-Fraserview,Entire home/apt,4,2 baths,2,2,120
3849,Kensington-Cedar Cottage,Entire home/apt,5,2 baths,3,4,199
3850,Downtown Eastside,Entire home/apt,5,1 bath,1,1,113
3851,Downtown,Entire home/apt,3,1 bath,1,1,132
3852,Downtown Eastside,Entire home/apt,5,1 bath,1,2,113
3853,Riley Park,Entire home/apt,4,1.5 baths,2,2,118
3854,South Cambie,Entire home/apt,2,1 bath,1,1,79
3855,Arbutus Ridge,Entire home/apt,6,1 bath,3,5,138
3856,West End,Private room,2,1 shared bath,1,1,75
3857,Sunset,Private room,2,1 shared bath,1,1,65
3858,Mount Pleasant,Entire home/apt,7,1 bath,2,3,99
3859,Kitsilano,Private room,2,1 private bath,1,1,69
3860,Kitsilano,Entire home/apt,3,1 bath,2,2,139
3861,Downtown,Entire home/apt,3,1 bath,1,1,100
3862,Mount Pleasant,Entire home/apt,2,1 bath,1,1,54
3863,Sunset,Private room,2,1 private bath,1,1,53
3864,Marpole,Private room,2,1 shared bath,1,1,88
3865,Downtown,Private room,2,1 shared bath,1,1,75
3866,West End,Entire home/apt,4,1 bath,2,2,425
3867,Downtown,Entire home/apt,2,1 bath,1,1,100
3868,West End,Entire home/apt,4,1 bath,2,3,104
3869,Sunset,Entire home/apt,4,1 bath,2,2,130
3870,Marpole,Private room,1,1.5 shared baths,1,1,39
3871,Dunbar Southlands,Entire home/apt,2,1 bath,1,1,96
3872,Downtown,Entire home/apt,4,1 bath,1,1,144
3873,Dunbar Southlands,Private room,5,1 bath,2,3,700
3874,Downtown,Entire home/apt,6,2.5 baths,2,2,264
3875,Downtown,Entire home/apt,2,1 bath,1,1,103.29
3876,Renfrew-Collingwood,Private room,2,1 shared bath,1,2,54.14
3877,Downtown,Entire home/apt,2,1 bath,1,1,135
3878,Mount Pleasant,Entire home/apt,8,2 baths,4,4,117
3879,Mount Pleasant,Entire home/apt,6,2.5 baths,4,3,100
3880,West End,Entire home/apt,2,1 bath,1,2,100
3881,Renfrew-Collingwood,Private room,2,1 shared bath,1,2,53
3882,Renfrew-Collingwood,Private room,1,1 shared bath,1,1,45
3883,Downtown,Entire home/apt,2,1 bath,1,1,134
3884,Renfrew-Collingwood,Private room,1,1 shared bath,1,1,27
3885,Kitsilano,Entire home/apt,5,1 bath,1,2,282
3886,Victoria-Fraserview,Entire home/apt,2,1 bath,1,1,65
3887,Marpole,Private room,2,2 shared baths,1,1,41
3888,Kitsilano,Entire home/apt,7,2.5 baths,4,5,555
3889,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,90
3890,Downtown,Entire home/apt,4,1 bath,2,2,225
3891,Downtown,Entire home/apt,2,1 bath,1,1,157
3892,Dunbar Southlands,Entire home/apt,2,1 bath,1,1,90
3893,Downtown,Entire home/apt,5,2 baths,2,2,174
3894,Downtown Eastside,Entire home/apt,2,1 bath,1,1,120
3895,Downtown,Entire home/apt,4,1 bath,1,1,94
3896,Downtown,Entire home/apt,8,2 baths,3,4,617
3897,Marpole,Entire home/apt,4,1 bath,2,2,80
3898,Downtown,Entire home/apt,3,1 bath,2,2,120
3899,Sunset,Entire home/apt,4,1 bath,1,1,99
3900,West End,Entire home/apt,2,1 bath,1,1,89
3901,Downtown,Entire home/apt,2,1 bath,1,2,300
3902,West End,Private room,1,1 shared bath,1,1,55
3903,Downtown,Entire home/apt,4,1 bath,1,1,115
3904,Downtown,Private room,2,1 private bath,1,0,80
3905,Oakridge,Private room,6,1 private bath,3,3,185
3906,Fairview,Entire home/apt,4,2 baths,2,2,350
3907,Downtown,Entire home/apt,2,1 bath,1,1,118
3908,Hastings-Sunrise,Entire home/apt,5,1 bath,1,3,108
3909,Victoria-Fraserview,Private room,4,1.5 shared baths,1,2,45
3910,West End,Entire home/apt,4,1 bath,1,1,105
3911,Hastings-Sunrise,Private room,2,1 shared bath,1,1,50
3912,Downtown,Entire home/apt,8,2 baths,3,5,193
3913,Marpole,Private room,4,1 private bath,2,2,158
3914,Mount Pleasant,Entire home/apt,4,1.5 baths,1,1,200
3915,West Point Grey,Entire home/apt,4,1 bath,2,2,99.71
3916,South Cambie,Entire home/apt,6,2 baths,2,3,214
3917,Killarney,Entire home/apt,8,4 baths,4,4,450
3918,Kensington-Cedar Cottage,Private room,1,2 shared baths,1,1,28
3919,Downtown,Entire home/apt,4,2 baths,2,2,120
3920,Fairview,Entire home/apt,4,2.5 baths,2,2,130
3921,Downtown Eastside,Entire home/apt,5,2 baths,2,3,198
3922,Kitsilano,Entire home/apt,2,1 bath,1,1,125
3923,Downtown,Entire home/apt,6,2 baths,2,3,280
3924,Downtown,Entire home/apt,5,1 bath,2,4,177
3925,Downtown,Entire home/apt,4,2 baths,2,0,199
3926,Oakridge,Entire home/apt,10,3 baths,5,5,387
3927,Kitsilano,Private room,2,1 private bath,1,1,65
3928,Marpole,Private room,2,1 shared bath,1,1,58
3929,Downtown,Entire home/apt,5,1 bath,1,3,124
3930,Downtown,Private room,1,1 shared bath,1,1,45
